source,destination,mode,distance,time_of_day,weather,traffic_level,travel_time
E,C,truck,8,6,foggy,medium,22.22
E,C,train,17,6,foggy,medium,23.61
B,C,truck,18,12,foggy,low,45.0
D,C,truck,48,6,rainy,medium,100.0
D,B,train,19,18,rainy,medium,19.79
C,D,truck,36,0,sunny,low,54.0
B,D,air,35,12,rainy,high,6.25
D,C,air,15,18,rainy,low,1.88
D,A,train,32,12,foggy,medium,44.44
C,E,truck,20,12,foggy,low,50.0
D,E,truck,26,0,rainy,high,69.64
E,B,truck,18,12,rainy,low,33.75
D,C,truck,40,12,sunny,low,60.0
C,A,train,28,12,foggy,low,35.0
C,A,air,50,12,foggy,medium,9.26
D,C,truck,14,6,foggy,low,35.0
A,D,truck,31,12,sunny,high,66.43
C,B,train,12,18,foggy,medium,16.67
C,D,train,25,0,rainy,medium,26.04
A,C,train,31,18,sunny,medium,25.83
B,C,truck,31,18,foggy,medium,86.11
C,A,train,37,0,foggy,low,46.25
B,E,air,21,0,rainy,medium,2.92
D,B,air,20,0,foggy,low,3.33
E,C,train,35,18,rainy,low,32.81
A,B,air,36,18,sunny,low,3.6
B,C,train,49,0,sunny,low,36.75
D,B,air,45,6,sunny,low,4.5
C,D,air,38,18,sunny,high,5.43
A,C,air,12,12,rainy,medium,1.67
B,E,train,26,6,sunny,medium,21.67
B,E,truck,29,6,sunny,low,43.5
B,E,train,21,18,foggy,low,26.25
D,C,truck,36,18,rainy,high,96.43
A,C,air,26,12,foggy,low,4.33
D,A,truck,43,0,sunny,high,92.14
B,A,air,30,0,foggy,medium,5.56
B,A,air,20,6,foggy,low,3.33
A,E,truck,20,0,foggy,high,71.43
A,D,truck,34,18,foggy,medium,94.44
D,E,air,11,6,sunny,high,1.57
A,C,train,9,0,sunny,low,6.75
A,E,train,6,0,sunny,high,6.43
B,D,air,23,12,rainy,low,2.88
D,A,air,45,6,sunny,high,6.43
B,A,air,13,6,foggy,low,2.17
E,B,train,30,12,foggy,low,37.5
D,A,train,13,0,sunny,high,13.93
C,D,air,16,12,foggy,medium,2.96
A,E,truck,36,18,foggy,low,90.0
D,C,train,24,6,foggy,medium,33.33
A,E,air,49,18,sunny,low,4.9
D,C,train,50,6,sunny,low,37.5
E,C,air,36,0,sunny,high,5.14
A,C,train,44,6,foggy,medium,61.11
A,C,train,13,18,sunny,medium,10.83
A,B,train,7,0,foggy,high,12.5
C,A,air,48,18,rainy,medium,6.67
C,A,train,44,6,foggy,low,55.0
C,D,truck,41,0,rainy,low,76.88
B,E,air,39,0,rainy,low,4.88
C,E,truck,48,18,rainy,low,90.0
C,E,air,20,12,rainy,low,2.5
D,E,air,42,18,rainy,medium,5.83
E,B,air,44,0,rainy,low,5.5
A,B,truck,6,18,rainy,high,16.07
B,E,truck,24,6,foggy,high,85.71
D,C,train,46,18,rainy,medium,47.92
E,B,air,5,12,foggy,medium,0.93
A,E,air,12,6,rainy,medium,1.67
E,A,truck,47,0,rainy,low,88.12
E,C,air,35,12,sunny,low,3.5
B,E,train,39,18,rainy,medium,40.62
E,B,air,23,18,sunny,medium,2.56
A,B,air,9,6,sunny,low,0.9
B,A,air,42,6,rainy,low,5.25
C,E,train,32,6,sunny,high,34.29
B,C,train,41,6,sunny,low,30.75
E,B,train,14,0,foggy,high,25.0
B,C,air,21,18,rainy,low,2.62
D,A,train,27,0,sunny,low,20.25
D,E,truck,31,0,rainy,high,83.04
E,B,train,10,6,sunny,low,7.5
D,A,train,25,18,sunny,high,26.79
C,B,air,21,0,sunny,high,3.0
A,D,train,8,0,rainy,medium,8.33
E,C,train,16,6,rainy,medium,16.67
C,A,train,16,18,rainy,high,21.43
E,C,truck,32,18,sunny,medium,53.33
A,E,train,11,18,foggy,medium,15.28
D,C,air,22,18,rainy,high,3.93
D,B,truck,25,6,sunny,high,53.57
B,A,truck,14,12,sunny,medium,23.33
D,C,train,44,0,rainy,medium,45.83
C,D,air,37,6,foggy,high,8.81
A,D,train,29,0,foggy,medium,40.28
A,B,truck,17,6,rainy,high,45.54
B,A,air,41,12,foggy,low,6.83
B,E,train,47,0,rainy,medium,48.96
D,B,train,18,6,sunny,high,19.29
E,C,truck,26,0,rainy,high,69.64
B,C,train,49,0,sunny,medium,40.83
A,E,truck,46,18,foggy,low,115.0
D,B,truck,37,6,foggy,medium,102.78
D,A,truck,45,6,foggy,medium,125.0
E,C,air,10,6,sunny,high,1.43
A,E,train,13,18,sunny,low,9.75
E,A,truck,35,6,rainy,low,65.62
B,D,air,49,18,rainy,high,8.75
B,A,train,37,12,sunny,medium,30.83
B,D,truck,31,12,sunny,medium,51.67
A,B,train,37,0,rainy,medium,38.54
D,E,air,10,12,rainy,high,1.79
C,B,air,37,18,rainy,medium,5.14
E,D,truck,24,12,rainy,low,45.0
B,C,train,30,12,sunny,medium,25.0
A,D,air,15,6,foggy,medium,2.78
D,E,air,26,12,rainy,low,3.25
A,D,air,40,18,rainy,low,5.0
A,C,train,32,6,rainy,high,42.86
B,A,train,36,6,foggy,medium,50.0
C,B,train,32,0,foggy,high,57.14
B,C,air,23,6,rainy,high,4.11
B,E,truck,32,18,foggy,low,80.0
B,C,truck,27,18,sunny,low,40.5
B,A,air,6,12,rainy,medium,0.83
E,B,train,50,12,sunny,medium,41.67
D,A,air,50,6,foggy,low,8.33
C,A,air,49,18,sunny,medium,5.44
D,A,air,22,12,rainy,medium,3.06
E,C,air,42,6,foggy,low,7.0
D,B,train,17,12,sunny,low,12.75
B,E,train,27,6,rainy,medium,28.12
B,C,truck,10,6,sunny,high,21.43
D,E,truck,47,0,foggy,high,167.86
C,D,truck,11,6,foggy,high,39.29
B,E,train,10,0,foggy,low,12.5
E,D,air,48,0,rainy,low,6.0
A,C,air,19,18,sunny,high,2.71
E,A,train,20,18,foggy,low,25.0
E,C,air,17,6,foggy,medium,3.15
E,B,truck,13,18,sunny,high,27.86
A,D,truck,33,12,sunny,high,70.71
A,B,air,7,0,rainy,medium,0.97
E,B,air,50,18,foggy,low,8.33
D,B,train,12,6,rainy,low,11.25
D,A,train,31,0,rainy,high,41.52
E,B,truck,6,6,foggy,medium,16.67
B,C,train,5,6,rainy,high,6.7
C,A,air,21,12,foggy,high,5.0
A,D,truck,27,0,sunny,low,40.5
E,A,train,6,12,sunny,medium,5.0
E,A,air,21,18,foggy,medium,3.89
E,D,truck,20,0,sunny,low,30.0
A,B,train,46,0,rainy,high,61.61
B,D,air,7,0,foggy,low,1.17
E,D,air,39,0,foggy,medium,7.22
A,E,truck,6,6,sunny,low,9.0
C,B,truck,34,0,sunny,low,51.0
A,B,truck,44,6,foggy,low,110.0
D,B,train,22,6,sunny,medium,18.33
A,C,air,27,0,foggy,low,4.5
D,C,air,38,0,foggy,medium,7.04
E,A,air,7,0,rainy,high,1.25
D,B,air,47,12,sunny,high,6.71
A,C,air,10,6,foggy,high,2.38
D,B,air,42,6,sunny,low,4.2
D,E,train,21,0,rainy,low,19.69
C,A,train,6,0,rainy,low,5.62
D,B,truck,10,18,rainy,low,18.75
A,D,truck,19,0,sunny,high,40.71
A,D,air,11,6,rainy,low,1.38
C,B,train,35,6,foggy,low,43.75
B,E,truck,17,0,foggy,medium,47.22
A,E,air,35,6,sunny,low,3.5
D,A,truck,24,6,rainy,low,45.0
E,B,truck,44,6,foggy,low,110.0
A,D,truck,15,6,rainy,high,40.18
D,B,train,29,0,foggy,low,36.25
D,C,truck,37,0,rainy,medium,77.08
E,A,air,26,0,sunny,low,2.6
C,B,train,9,0,sunny,medium,7.5
E,B,truck,39,6,foggy,medium,108.33
C,E,train,24,6,sunny,high,25.71
A,E,train,39,12,rainy,medium,40.62
E,D,air,15,12,sunny,low,1.5
E,A,truck,42,6,foggy,medium,116.67
C,E,air,32,6,foggy,high,7.62
D,C,air,44,6,sunny,high,6.29
C,E,train,24,12,sunny,high,25.71
D,C,truck,25,12,sunny,medium,41.67
B,D,truck,28,18,sunny,medium,46.67
C,B,air,5,12,foggy,high,1.19
C,E,train,8,6,foggy,low,10.0
B,E,air,5,6,foggy,low,0.83
D,A,air,19,18,sunny,medium,2.11
D,A,air,29,12,foggy,low,4.83
C,D,truck,27,18,foggy,high,96.43
D,C,air,23,12,foggy,low,3.83
B,D,train,36,12,sunny,high,38.57
D,B,train,6,0,sunny,medium,5.0
D,E,train,16,12,foggy,high,28.57
B,E,truck,48,18,rainy,high,128.57
E,A,air,20,18,rainy,high,3.57
D,B,truck,29,6,foggy,medium,80.56
A,E,air,34,12,sunny,medium,3.78
B,D,air,44,6,sunny,high,6.29
E,B,truck,36,12,sunny,low,54.0
A,D,train,6,6,sunny,medium,5.0
D,C,truck,26,0,foggy,high,92.86
D,E,train,21,6,sunny,high,22.5
B,D,truck,26,0,foggy,low,65.0
B,A,truck,10,0,foggy,medium,27.78
E,D,truck,47,0,rainy,low,88.12
C,B,air,45,18,sunny,high,6.43
E,B,truck,28,18,sunny,low,42.0
D,E,truck,31,12,foggy,high,110.71
C,D,truck,19,18,rainy,medium,39.58
A,B,train,13,0,rainy,high,17.41
A,E,air,48,12,sunny,low,4.8
E,C,truck,36,0,rainy,high,96.43
A,D,air,28,0,sunny,medium,3.11
D,B,truck,11,18,sunny,low,16.5
B,D,train,8,18,rainy,low,7.5
E,C,train,5,0,sunny,high,5.36
E,A,truck,26,12,sunny,medium,43.33
E,B,air,10,12,rainy,high,1.79
D,B,train,10,6,foggy,medium,13.89
C,E,train,15,0,foggy,high,26.79
C,E,truck,13,0,foggy,medium,36.11
E,D,train,10,18,sunny,medium,8.33
B,A,train,18,12,foggy,medium,25.0
E,D,air,34,6,rainy,medium,4.72
C,D,truck,35,12,foggy,medium,97.22
B,E,air,12,18,rainy,low,1.5
C,A,train,42,6,rainy,low,39.38
D,B,train,37,6,rainy,high,49.55
B,A,truck,43,0,rainy,medium,89.58
D,C,truck,47,12,foggy,medium,130.56
A,C,air,11,6,foggy,high,2.62
A,E,air,37,6,sunny,medium,4.11
A,C,air,49,0,sunny,low,4.9
E,A,train,24,6,sunny,high,25.71
D,B,truck,50,0,sunny,high,107.14
D,A,truck,27,18,foggy,high,96.43
E,B,air,49,12,sunny,medium,5.44
E,B,train,11,0,rainy,medium,11.46
B,C,train,24,12,foggy,medium,33.33
B,A,train,25,6,sunny,low,18.75
B,D,air,28,0,sunny,high,4.0
A,D,train,42,6,sunny,low,31.5
C,E,truck,42,6,rainy,high,112.5
C,A,truck,27,12,rainy,high,72.32
A,C,air,43,0,foggy,high,10.24
B,A,truck,45,18,foggy,medium,125.0
D,E,air,7,6,rainy,high,1.25
A,D,truck,30,18,foggy,medium,83.33
A,B,train,34,0,sunny,high,36.43
D,B,air,9,0,foggy,medium,1.67
E,B,air,42,18,sunny,high,6.0
B,D,train,49,18,foggy,high,87.5
A,B,truck,19,6,sunny,high,40.71
D,B,truck,28,6,sunny,low,42.0
B,D,train,26,0,rainy,medium,27.08
A,E,truck,28,0,rainy,high,75.0
A,B,train,22,0,rainy,medium,22.92
B,E,truck,42,12,sunny,high,90.0
D,A,air,31,0,foggy,high,7.38
E,D,train,29,18,rainy,low,27.19
B,E,air,48,12,foggy,medium,8.89
C,D,air,47,12,rainy,low,5.88
C,A,truck,15,12,rainy,high,40.18
A,D,train,23,12,rainy,low,21.56
A,D,train,10,6,sunny,high,10.71
A,D,train,48,12,sunny,low,36.0
A,E,train,25,0,foggy,high,44.64
C,D,truck,45,6,rainy,medium,93.75
C,B,air,33,12,sunny,medium,3.67
B,C,train,35,6,foggy,medium,48.61
B,E,truck,9,12,rainy,medium,18.75
A,C,train,23,12,sunny,medium,19.17
A,E,air,13,18,sunny,high,1.86
A,D,air,14,6,rainy,medium,1.94
D,C,air,21,12,sunny,high,3.0
A,D,air,11,0,rainy,high,1.96
A,D,truck,49,12,sunny,medium,81.67
D,E,train,25,6,rainy,medium,26.04
E,D,train,46,18,foggy,medium,63.89
B,A,train,24,12,rainy,high,32.14
D,A,air,22,18,sunny,medium,2.44
E,B,train,10,0,rainy,high,13.39
A,C,air,38,12,foggy,high,9.05
A,C,train,28,0,foggy,low,35.0
E,C,truck,44,6,rainy,low,82.5
E,D,train,28,18,foggy,high,50.0
D,C,air,49,0,rainy,low,6.12
A,B,train,45,6,foggy,low,56.25
D,B,air,27,6,foggy,low,4.5
B,C,truck,9,18,rainy,low,16.88
A,C,air,44,0,rainy,high,7.86
D,A,train,48,12,foggy,medium,66.67
B,C,train,50,6,rainy,low,46.88
E,C,train,31,6,sunny,low,23.25
D,E,air,40,0,foggy,low,6.67
C,A,truck,37,0,foggy,low,92.5
B,C,train,40,18,foggy,medium,55.56
A,C,truck,44,6,foggy,medium,122.22
B,C,air,11,18,foggy,medium,2.04
B,E,truck,10,0,foggy,high,35.71
D,A,air,37,0,rainy,high,6.61
D,A,train,20,18,foggy,medium,27.78
C,A,truck,7,18,sunny,high,15.0
B,D,truck,11,12,foggy,high,39.29
D,C,truck,14,18,sunny,high,30.0
D,C,truck,14,12,foggy,low,35.0
A,E,air,47,12,sunny,high,6.71
A,C,truck,12,18,sunny,low,18.0
E,B,train,10,0,rainy,low,9.38
C,D,air,12,12,sunny,high,1.71
C,B,truck,38,0,sunny,high,81.43
B,A,truck,15,18,rainy,medium,31.25
A,C,train,21,18,sunny,medium,17.5
B,D,train,15,6,foggy,high,26.79
D,E,train,37,6,sunny,high,39.64
D,A,train,34,0,foggy,high,60.71
B,C,air,8,12,foggy,low,1.33
B,D,air,19,0,sunny,medium,2.11
C,E,train,24,12,foggy,medium,33.33
A,D,air,42,6,foggy,medium,7.78
B,C,train,23,0,sunny,high,24.64
A,D,air,12,6,foggy,low,2.0
A,E,train,29,6,rainy,medium,30.21
A,D,air,25,6,foggy,medium,4.63
E,A,train,14,18,rainy,low,13.12
C,A,train,50,6,sunny,low,37.5
E,D,train,35,18,sunny,medium,29.17
B,E,train,22,0,rainy,low,20.62
B,C,train,11,18,foggy,low,13.75
E,A,train,34,0,sunny,medium,28.33
A,C,air,27,6,sunny,high,3.86
B,A,air,16,0,foggy,medium,2.96
A,E,air,20,0,foggy,medium,3.7
D,B,air,10,12,foggy,low,1.67
B,D,train,41,12,sunny,medium,34.17
C,B,air,17,18,foggy,medium,3.15
A,C,train,48,18,sunny,medium,40.0
A,C,air,22,6,foggy,medium,4.07
D,A,truck,14,12,sunny,medium,23.33
D,C,truck,30,12,rainy,high,80.36
B,C,train,37,0,sunny,medium,30.83
B,C,truck,21,6,sunny,low,31.5
D,A,train,19,0,foggy,high,33.93
C,A,train,33,12,rainy,high,44.2
B,E,train,26,12,rainy,medium,27.08
B,A,air,28,18,rainy,high,5.0
B,D,train,11,6,rainy,low,10.31
E,A,train,8,18,sunny,low,6.0
A,C,truck,46,18,foggy,low,115.0
A,E,truck,19,12,rainy,low,35.62
C,E,train,9,0,foggy,low,11.25
C,D,air,32,18,sunny,medium,3.56
A,B,truck,16,12,rainy,medium,33.33
D,A,train,10,12,rainy,low,9.38
A,C,air,9,6,foggy,medium,1.67
C,A,train,18,6,foggy,medium,25.0
C,D,truck,48,18,rainy,high,128.57
B,D,air,24,6,foggy,low,4.0
C,E,train,12,18,foggy,high,21.43
E,C,air,50,18,foggy,medium,9.26
B,C,air,43,0,sunny,high,6.14
A,D,air,24,6,rainy,low,3.0
D,C,air,13,12,foggy,medium,2.41
B,D,train,30,0,rainy,high,40.18
A,C,truck,27,18,foggy,medium,75.0
D,A,truck,31,12,sunny,low,46.5
B,C,air,48,6,foggy,low,8.0
C,A,truck,22,0,sunny,low,33.0
D,E,train,45,6,rainy,high,60.27
E,A,air,14,18,foggy,medium,2.59
D,A,air,49,0,foggy,high,11.67
E,B,train,37,18,rainy,high,49.55
B,D,air,44,12,foggy,medium,8.15
B,E,air,22,0,foggy,medium,4.07
E,D,train,49,6,rainy,medium,51.04
D,C,air,27,18,foggy,medium,5.0
C,E,truck,8,12,rainy,low,15.0
A,B,air,48,12,rainy,high,8.57
A,B,train,22,12,rainy,low,20.62
E,A,truck,28,6,sunny,low,42.0
D,E,train,19,0,foggy,low,23.75
D,E,train,37,6,rainy,medium,38.54
A,C,train,17,18,foggy,medium,23.61
C,E,truck,5,6,foggy,medium,13.89
D,A,train,21,12,foggy,low,26.25
C,D,train,18,12,rainy,low,16.88
E,B,air,45,0,rainy,medium,6.25
E,A,air,15,6,sunny,medium,1.67
D,C,air,25,0,rainy,high,4.46
E,D,train,26,18,rainy,low,24.38
E,D,truck,12,6,foggy,low,30.0
B,E,air,18,18,sunny,medium,2.0
E,D,air,35,12,rainy,high,6.25
D,E,train,49,0,rainy,low,45.94
E,D,truck,28,18,rainy,high,75.0
C,B,air,8,6,sunny,high,1.14
C,B,train,39,0,sunny,low,29.25
A,E,train,38,6,foggy,high,67.86
D,A,train,6,12,foggy,low,7.5
A,E,truck,15,12,sunny,medium,25.0
E,C,air,41,18,sunny,low,4.1
C,D,air,25,12,foggy,low,4.17
D,C,air,8,12,rainy,low,1.0
A,C,truck,15,12,rainy,high,40.18
B,D,train,6,18,foggy,medium,8.33
D,B,truck,10,6,rainy,medium,20.83
A,E,train,13,6,sunny,high,13.93
A,E,air,42,6,foggy,low,7.0
A,C,air,19,18,rainy,medium,2.64
A,B,train,10,12,rainy,medium,10.42
D,E,truck,6,12,rainy,low,11.25
B,A,air,46,18,rainy,high,8.21
B,E,air,13,18,rainy,medium,1.81
D,E,truck,18,0,foggy,medium,50.0
B,C,train,40,12,rainy,high,53.57
B,D,train,35,12,foggy,high,62.5
D,A,air,35,0,rainy,high,6.25
E,D,air,9,18,foggy,high,2.14
A,E,truck,42,0,rainy,low,78.75
C,B,truck,5,12,sunny,high,10.71
A,C,truck,41,0,foggy,high,146.43
B,E,air,27,0,rainy,high,4.82
C,B,truck,19,6,rainy,low,35.62
C,E,truck,47,6,sunny,high,100.71
D,B,air,42,0,sunny,medium,4.67
E,D,air,49,6,foggy,low,8.17
E,C,train,15,12,foggy,medium,20.83
B,A,truck,47,0,sunny,high,100.71
B,D,truck,24,12,rainy,high,64.29
E,D,train,46,18,foggy,medium,63.89
C,D,air,27,6,foggy,low,4.5
A,D,air,40,6,rainy,low,5.0
D,B,truck,38,12,sunny,low,57.0
C,E,train,22,0,foggy,low,27.5
B,A,train,23,6,sunny,low,17.25
B,C,air,24,18,sunny,low,2.4
C,E,train,39,6,foggy,low,48.75
C,A,air,33,18,foggy,low,5.5
E,A,truck,45,6,sunny,medium,75.0
A,E,truck,27,0,foggy,low,67.5
E,C,air,45,6,rainy,high,8.04
E,D,truck,10,6,foggy,low,25.0
A,E,air,27,18,sunny,medium,3.0
C,D,air,10,6,rainy,low,1.25
B,E,air,12,12,foggy,low,2.0
C,A,truck,15,0,sunny,low,22.5
C,A,train,24,18,rainy,low,22.5
C,E,truck,44,18,sunny,low,66.0
E,A,truck,46,12,sunny,low,69.0
D,C,truck,37,0,sunny,high,79.29
B,A,train,48,0,foggy,medium,66.67
D,C,train,26,18,sunny,medium,21.67
E,B,train,25,18,rainy,high,33.48
E,A,air,22,18,sunny,low,2.2
A,D,train,31,18,foggy,high,55.36
A,D,truck,18,0,sunny,low,27.0
D,A,truck,25,12,foggy,high,89.29
A,B,air,33,0,rainy,low,4.12
D,B,truck,21,6,foggy,low,52.5
D,B,air,23,0,foggy,low,3.83
D,A,air,46,0,foggy,high,10.95
A,E,air,18,6,sunny,high,2.57
E,A,train,18,18,rainy,low,16.88
A,D,train,27,12,rainy,low,25.31
D,E,air,30,6,sunny,low,3.0
C,B,truck,47,6,rainy,high,125.89
E,B,air,24,6,sunny,medium,2.67
C,B,truck,9,18,foggy,medium,25.0
E,B,air,11,12,foggy,medium,2.04
D,B,truck,47,0,sunny,medium,78.33
E,B,air,17,12,sunny,low,1.7
A,C,truck,48,0,foggy,low,120.0
A,B,truck,35,12,sunny,high,75.0
D,A,train,43,18,rainy,medium,44.79
D,A,air,36,6,rainy,medium,5.0
C,B,air,21,18,sunny,medium,2.33
E,D,truck,27,0,foggy,low,67.5
A,C,truck,21,18,sunny,high,45.0
A,B,air,37,18,sunny,low,3.7
E,D,truck,7,0,sunny,medium,11.67
E,C,train,26,18,sunny,high,27.86
A,B,air,9,6,rainy,high,1.61
C,E,train,27,12,foggy,high,48.21
E,D,air,44,0,sunny,high,6.29
E,C,train,11,0,rainy,low,10.31
D,A,truck,29,18,foggy,medium,80.56
A,E,air,25,18,rainy,low,3.12
B,A,air,20,6,foggy,high,4.76
B,C,air,23,18,sunny,medium,2.56
E,A,train,15,12,rainy,high,20.09
E,C,train,47,12,rainy,low,44.06
E,D,truck,23,0,rainy,high,61.61
C,A,air,39,0,foggy,low,6.5
E,B,air,12,6,rainy,medium,1.67
C,A,train,46,18,rainy,low,43.12
B,E,train,8,12,sunny,low,6.0
B,A,air,25,0,rainy,low,3.12
C,E,train,38,6,foggy,medium,52.78
E,B,air,10,0,rainy,high,1.79
E,D,air,13,12,rainy,low,1.62
B,E,train,18,0,foggy,low,22.5
A,C,truck,8,0,sunny,low,12.0
E,D,truck,20,6,foggy,high,71.43
B,E,train,21,0,foggy,medium,29.17
A,B,air,39,12,sunny,low,3.9
B,C,air,16,12,rainy,high,2.86
B,D,air,13,18,rainy,high,2.32
E,C,truck,36,18,sunny,high,77.14
B,D,air,18,18,rainy,medium,2.5
A,D,train,8,0,foggy,medium,11.11
E,A,air,17,18,rainy,medium,2.36
D,E,train,35,12,sunny,medium,29.17
D,C,train,23,12,rainy,low,21.56
A,C,truck,8,6,foggy,low,20.0
A,D,air,41,0,rainy,high,7.32
E,A,air,12,18,foggy,high,2.86
D,C,train,42,6,rainy,medium,43.75
E,B,air,32,12,sunny,low,3.2
E,C,train,19,12,foggy,low,23.75
C,A,air,17,18,foggy,medium,3.15
D,B,truck,5,18,rainy,high,13.39
A,E,air,21,0,foggy,medium,3.89
A,B,air,26,6,sunny,high,3.71
D,E,train,5,12,sunny,high,5.36
D,C,truck,33,6,foggy,medium,91.67
E,B,truck,20,0,foggy,medium,55.56
E,B,air,49,6,rainy,high,8.75
E,B,train,5,12,rainy,medium,5.21
D,E,truck,44,0,rainy,low,82.5
D,B,air,31,6,foggy,high,7.38
C,D,air,38,0,sunny,high,5.43
E,A,air,28,12,foggy,medium,5.19
E,C,truck,33,18,foggy,high,117.86
E,D,train,49,12,rainy,high,65.62
B,A,air,34,0,rainy,medium,4.72
A,C,train,26,18,sunny,high,27.86
E,A,train,20,18,sunny,low,15.0
B,A,train,34,6,rainy,high,45.54
D,E,air,21,18,sunny,low,2.1
B,E,train,35,18,sunny,medium,29.17
C,B,train,14,6,rainy,high,18.75
E,C,truck,19,18,foggy,medium,52.78
C,B,train,36,0,sunny,low,27.0
B,C,air,28,6,rainy,low,3.5
E,A,train,29,6,foggy,medium,40.28
D,A,train,18,18,sunny,high,19.29
E,A,train,27,6,sunny,high,28.93
B,D,truck,5,6,foggy,low,12.5
B,D,train,18,6,sunny,low,13.5
B,D,air,45,12,foggy,high,10.71
C,D,train,9,0,sunny,high,9.64
E,D,air,10,6,foggy,high,2.38
C,E,truck,20,0,foggy,high,71.43
D,C,air,33,0,rainy,medium,4.58
D,B,truck,37,6,sunny,high,79.29
E,B,train,40,0,sunny,low,30.0
B,E,air,47,12,sunny,low,4.7
E,A,train,22,0,sunny,low,16.5
B,D,train,5,0,rainy,medium,5.21
B,C,air,29,18,rainy,medium,4.03
B,E,truck,14,6,sunny,medium,23.33
D,B,train,15,0,sunny,low,11.25
D,B,train,46,18,sunny,low,34.5
D,A,air,47,0,rainy,low,5.88
E,A,air,48,6,foggy,low,8.0
D,B,train,32,18,sunny,medium,26.67
C,A,air,18,18,sunny,medium,2.0
B,C,air,16,18,rainy,medium,2.22
A,B,train,30,12,sunny,low,22.5
A,D,truck,6,12,rainy,high,16.07
A,B,train,41,0,sunny,medium,34.17
C,B,truck,40,12,rainy,medium,83.33
C,A,air,9,0,rainy,medium,1.25
E,B,air,21,18,sunny,high,3.0
D,C,train,16,12,rainy,low,15.0
A,B,train,42,6,rainy,high,56.25
D,C,air,49,0,rainy,high,8.75
C,A,air,13,0,sunny,medium,1.44
D,C,train,28,18,rainy,low,26.25
D,B,air,46,0,sunny,low,4.6
C,E,train,16,6,foggy,medium,22.22
D,C,air,48,6,foggy,high,11.43
B,C,air,31,0,rainy,low,3.88
D,B,air,50,6,sunny,medium,5.56
A,C,truck,14,12,foggy,low,35.0
B,E,truck,15,18,rainy,medium,31.25
C,D,air,13,12,rainy,low,1.62
D,E,train,25,0,foggy,high,44.64
D,B,air,37,0,rainy,high,6.61
